Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.469309279,9.824331284,0.002991028,-0.38823548,9.831999843
0.471674748,9.80997467,0.007776673,-0.359521598,9.816563517
0.474040373,9.78126049,0.017347964,-0.402592421,9.78955762
0.476407143,9.814760208,0.026919255,-0.38823548,9.822472671
0.478773654,9.862616539,-0.025722843,-0.316450804,9.867725562
0.481139539,9.872187614,-0.011365907,-0.330807716,9.877735126
0.483506102,9.83868885,-0.001794617,-0.369092882,9.845609736
0.485872143,9.800403595,0.002991028,-0.407378048,9.808867236
0.48823782,9.786046028,-0.006580262,-0.43609193,9.79576012
0.490603654,9.78126049,0.026919255,-0.35473597,9.787727981
0.492969904,9.79083252,0.036490545,-0.349950314,9.797152556
0.495335373,9.79083252,0.012562319,-0.38823548,9.798534892
0.497700633,9.824331284,-0.006580262,-0.369092882,9.831264315
0.500067039,9.814760208,-0.030508488,-0.359521598,9.821390151
0.502432716,9.819545746,-0.016151553,-0.335593373,9.825291977
0.504798237,9.819545746,0.022133609,-0.349950314,9.825804485
0.507164383,9.752547264,0.04127619,-0.383449823,9.760169857
0.509530268,9.747760773,0.017347964,-0.393021107,9.755696112
0.511896362,9.766903877,0.002991028,-0.412163705,9.775597128
0.514262664,9.824331284,0.04127619,-0.369092882,9.83134876
0.516628393,9.848259926,0.036490545,-0.345164657,9.854374347
0.518994018,9.867402077,-0.001794617,-0.349950314,9.873605835
0.521359487,9.83868885,-0.016151553,-0.383449823,9.846171486
0.52372532,9.829116821,-0.016151553,-0.345164657,9.835188712
0.52609157,9.78126049,0.017347964,-0.369092882,9.78823719
0.52845782,9.83868885,-0.006580262,-0.383449823,9.846160438
0.530824123,9.83868885,-0.011365907,-0.373878539,9.845796699
0.533189695,9.824331284,0.002991028,-0.378664196,9.831626554
0.535555789,9.829116821,0.017347964,-0.38823548,9.836796492
0.537921883,9.819545746,0.022133609,-0.397806764,9.827625287
0.5402873,9.795618057,-0.001794617,-0.383449823,9.803120427
0.542653133,9.79083252,-0.006580262,-0.349950314,9.797086809
0.545018393,9.795618057,0.022133609,-0.402592421,9.803912672
0.547383081,9.738189697,0.026919255,-0.349950314,9.744512735
0.549749018,9.805189133,0.007776673,-0.373878539,9.812317747
0.552115216,9.805189133,0.007776673,-0.364307255,9.811957714
0.554481362,9.80997467,0.031704899,-0.34037903,9.815929203
0.556847456,9.848259926,0.007776673,-0.35473597,9.854649748
0.559213133,9.795618057,0.002991028,-0.35473597,9.802039567
0.561578914,9.857831001,0.007776673,-0.359521598,9.864387883
0.563945737,9.83868885,-0.030508488,-0.35473597,9.845129084
0.566311987,9.814760208,-0.020937199,-0.38823548,9.822458099
0.568677716,9.853045464,0.04127619,-0.345164657,9.859175791
0.571043758,9.795618057,0.012562319,-0.330807716,9.801210368
0.573409643,9.76211834,0.007776673,-0.364307255,9.768916763
0.57577532,9.795618057,-0.025722843,-0.455234498,9.806224209
0.578140216,9.824331284,-0.030508488,-0.359521598,9.830954771
0.5805048,9.79083252,-0.04007978,-0.349950314,9.797166582
0.582870268,9.786046028,-0.001794617,-0.369092882,9.793004117
0.585235893,9.73340416,0.036490545,-0.378664196,9.740835419
0.587601883,9.76211834,0.046061836,-0.378664196,9.769568196
0.5899673,9.766903877,0.007776673,-0.373878539,9.774060414
0.592332977,9.83868885,0.007776673,-0.345164657,9.84474466
0.594698966,9.800403595,-0.016151553,-0.359521598,9.807009089
0.597063758,9.833903313,0.031704899,-0.35473597,9.84035046
0.599428862,9.857831001,0.022133609,-0.35473597,9.86423639
0.60179381,9.843474388,0.002991028,-0.330807716,9.849031969
0.604158758,9.843474388,-0.030508488,-0.383449823,9.85098739
0.60652381,9.824331284,0.007776673,-0.38823548,9.832002463
0.608889018,9.80997467,-0.011365907,-0.364307255,9.816743452
0.611253914,9.80997467,-0.011365907,-0.416949332,9.818837964
0.613619591,9.814760208,0.002991028,-0.412163705,9.823411109
0.615985008,9.843474388,-0.001794617,-0.369092882,9.850391911
0.618350945,9.829116821,-0.011365907,-0.369092882,9.836050845
0.620716154,9.80997467,-0.001794617,-0.393021107,9.817844562
0.623081414,9.795618057,-0.011365907,-0.373878539,9.802757136
0.625446414,9.800403595,-0.001794617,-0.412163705,9.809066865
0.627812456,9.805189133,0.026919255,-0.383449823,9.812720945
0.630178029,9.829116821,0.017347964,-0.369092882,9.836059577
0.632543393,9.83868885,-0.001794617,-0.34037903,9.844575125
0.634909279,9.867402077,-0.006580262,-0.373878539,9.874484908
0.637274695,9.848259926,-0.030508488,-0.373878539,9.855401539
0.63964006,9.805189133,0.007776673,-0.34037903,9.811098424
0.642005737,9.833903313,-0.001794617,-0.330807716,9.839466008
0.644371623,9.819545746,0.002991028,-0.383449823,9.82703014
0.646737612,9.819545746,0.017347964,-0.369092882,9.826495263
0.649103341,9.83868885,-0.001794617,-0.359521598,9.845255573
0.651469123,9.814760208,0.012562319,-0.359521598,9.8213508
0.653835477,9.814760208,0.002991028,-0.383449823,9.822248249
0.656201206,9.862616539,0.007776673,-0.373878539,9.869703675
0.658566935,9.857831001,-0.016151553,-0.373878539,9.864931732
0.660932873,9.829116821,0.012562319,-0.38823548,9.836789216
0.663298498,9.805189133,-0.016151553,-0.383449823,9.812697314
0.665663445,9.814760208,0.012562319,-0.378664196,9.822070165
0.66802907,9.786046028,-0.030508488,-0.378664196,9.793416881
0.670395268,9.814760208,-0.006580262,-0.378664196,9.822064336
0.672761206,9.819545746,-0.011365907,-0.402592421,9.827801814
0.675127143,9.800403595,0.007776673,-0.364307255,9.807175479
0.677492925,9.80997467,0.026919255,-0.359521598,9.816597346
0.67985881,9.848259926,0.031704899,-0.349950314,9.854526574
0.68222407,9.83868885,0.046061836,-0.326022089,9.844196787
0.684589279,9.80997467,0.055633128,-0.416949332,9.818988992
0.686954487,9.848259926,-0.030508488,-0.402592421,9.856532605
0.6893198,9.833903313,0.007776673,-0.335593373,9.839630976
0.6916848,9.848259926,0.002991028,-0.345164657,9.854307239
0.694050373,9.824331284,-0.006580262,-0.369092882,9.831264315
